-- intercalados lateralmente a cada 4 linhas
0,0,0,0,0,0,0,0,0,0,0,0
I,I,I,I,I,I,I,I,I,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,I,I,I,I,I,I,I,I,I
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
I,I,I,I,I,I,I,I,I,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,I,I,I,I,I,I,I,I,I
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
I,I,I,I,I,I,I,I,I,0,0,0
-- pontilhado superior e inferior
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,I,0,I,0,I,I,0,I,0,I,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,I,0,I,0,I,I,0,I,0,I,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
-- forma mais elaborada
0,0,0,0,0,0,0,0,0,0,0,0
0,I,0,0,I,0,0,I,0,0,I,0
0,I,I,0,0,0,0,0,0,I,I,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,I,0,0,I,0,0,0,0
0,0,I,0,0,0,0,0,0,I,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,I,0,0,0,0,0,0,I,0,0
0,0,0,0,I,0,0,I,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,I,0,0,I,0,0,0,0
0,0,I,0,0,0,0,0,0,I,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,I,0,0,0,0,0,0,I,0,0
0,0,0,0,I,0,0,I,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,I,I,0,0,0,0,0,0,I,I,0
0,I,0,0,I,0,0,I,0,0,I,0
-- dois Us superiores
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,I,0,I,0,0,0,0,I,0,I,0
0,I,0,I,0,0,0,0,I,0,I,0
0,I,0,I,0,0,0,0,I,0,I,0
0,I,I,I,0,0,0,0,I,I,I,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
-- caixa em L com apenas 1 abertura
0,I,0,0,0,0,0,0,0,0,0,0
